2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:27 -04:00: > mission-control@0.1.0 dev
2026-03-09 14:08:27 -04:00: > PORT=3333 next dev
2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:28 -04:00: ▲ Next.js 16.1.6 (Turbopack)
2026-03-09 14:08:28 -04:00: - Local:         http://localhost:3333
2026-03-09 14:08:28 -04:00: - Network:       http://192.168.5.41:3333
2026-03-09 14:08:28 -04:00: - Environments: .env
2026-03-09 14:08:28 -04:00: 
2026-03-09 14:08:28 -04:00: ✓ Starting...
2026-03-09 14:08:28 -04:00: ✓ Ready in 603ms
2026-03-09 14:08:29 -04:00:  GET / 200 in 709ms (compile: 578ms, render: 131ms)
2026-03-09 14:08:30 -04:00:  GET /api/costs/live 200 in 163ms (compile: 71ms, render: 93ms)
2026-03-09 14:08:34 -04:00:  GET /api/costs/live 200 in 6ms (compile: 1400µs, render: 5ms)
2026-03-09 14:08:39 -04:00:  GET /api/costs/live 200 in 9ms (compile: 3ms, render: 6ms)
2026-03-09 14:08:41 -04:00:  GET / 200 in 54ms (compile: 2ms, render: 52ms)
2026-03-09 14:08:44 -04:00:  GET /api/costs/live 200 in 6ms (compile: 1408µs, render: 4ms)
2026-03-09 14:08:49 -04:00:  GET /api/costs/live 200 in 5ms (compile: 1355µs, render: 4ms)
2026-03-09 14:08:54 -04:00:  GET /api/costs/live 200 in 7ms (compile: 1791µs, render: 5ms)
2026-03-09 14:08:57 -04:00:  GET /api/agents/status 200 in 65ms (compile: 19ms, render: 46ms)
2026-03-09 14:08:57 -04:00:  GET /api/activity/stats 200 in 87ms (compile: 34ms, render: 53ms)
2026-03-09 14:08:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 90ms (compile: 53ms, render: 37ms)
2026-03-09 14:08:57 -04:00:  GET /api/agents/status 200 in 27ms (compile: 1252µs, render: 26ms)
2026-03-09 14:08:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 8ms (compile: 1661µs, render: 6ms)
2026-03-09 14:08:57 -04:00:  GET /api/agents/status 200 in 6ms (compile: 4ms, render: 3ms)
2026-03-09 14:08:57 -04:00:  GET /api/activity/stats 200 in 18ms (compile: 1988µs, render: 16ms)
2026-03-09 14:08:57 -04:00:  GET /api/agents/status 200 in 3ms (compile: 715µs, render: 2ms)
2026-03-09 14:08:58 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 1101µs, render: 5ms)
2026-03-09 14:08:58 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 1349µs, render: 5ms)
2026-03-09 14:08:59 -04:00:  GET /api/costs/live 200 in 5ms (compile: 1471µs, render: 4ms)
2026-03-09 14:09:04 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1150µs, render: 3ms)
2026-03-09 14:09:07 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 8ms (compile: 1667µs, render: 7ms)
2026-03-09 14:09:07 -04:00:  GET /api/agents/status 200 in 6ms (compile: 1246µs, render: 5ms)
2026-03-09 14:09:07 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 1087µs, render: 5ms)
2026-03-09 14:09:09 -04:00:  GET /api/costs/live 200 in 5ms (compile: 1183µs, render: 4ms)
2026-03-09 14:09:14 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1146µs, render: 3ms)
2026-03-09 14:09:17 -04:00:  GET /api/agents/status 200 in 4ms (compile: 1544µs, render: 2ms)
2026-03-09 14:09:17 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 13ms (compile: 1640µs, render: 12ms)
2026-03-09 14:09:17 -04:00:  GET /api/activity/stats 200 in 9ms (compile: 1421µs, render: 8ms)
2026-03-09 14:09:18 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 1741µs, render: 5ms)
2026-03-09 14:09:19 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1084µs, render: 3ms)
2026-03-09 14:09:24 -04:00:  GET /api/costs/live 200 in 5ms (compile: 1254µs, render: 3ms)
2026-03-09 14:09:27 -04:00:  GET /api/agents/status 200 in 6ms (compile: 1234µs, render: 5ms)
2026-03-09 14:09:27 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 6ms (compile: 1008µs, render: 5ms)
2026-03-09 14:09:27 -04:00:  GET /api/agents/status 200 in 3ms (compile: 1102µs, render: 2ms)
2026-03-09 14:09:27 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 1092µs, render: 6ms)
2026-03-09 14:09:29 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1157µs, render: 3ms)
2026-03-09 14:09:34 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1220µs, render: 3ms)
2026-03-09 14:09:37 -04:00:  GET /api/agents/status 200 in 5ms (compile: 2ms, render: 3ms)
2026-03-09 14:09:37 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 14ms (compile: 1059µs, render: 13ms)
2026-03-09 14:09:37 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 1043µs, render: 6ms)
2026-03-09 14:09:38 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 945µs, render: 5ms)
2026-03-09 14:09:39 -04:00:  GET /api/costs/live 200 in 4ms (compile: 990µs, render: 3ms)
2026-03-09 14:09:44 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1077µs, render: 3ms)
2026-03-09 14:09:47 -04:00:  GET /api/agents/status 200 in 6ms (compile: 4ms, render: 1911µs)
2026-03-09 14:09:47 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 13ms (compile: 1227µs, render: 12ms)
2026-03-09 14:09:48 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 1071µs, render: 6ms)
2026-03-09 14:09:49 -04:00:  GET /api/costs/live 200 in 5ms (compile: 1057µs, render: 4ms)
2026-03-09 14:09:54 -04:00:  GET /api/costs/live 200 in 9ms (compile: 3ms, render: 6ms)
2026-03-09 14:09:57 -04:00:  GET /api/agents/status 200 in 11ms (compile: 2ms, render: 8ms)
2026-03-09 14:09:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 13ms (compile: 5ms, render: 8ms)
2026-03-09 14:09:57 -04:00:  GET /api/agents/status 200 in 4ms (compile: 1353µs, render: 2ms)
2026-03-09 14:09:58 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 1053µs, render: 5ms)
2026-03-09 14:09:59 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:10:04 -04:00:  GET /api/costs/live 200 in 9ms (compile: 3ms, render: 6ms)
2026-03-09 14:10:07 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 4ms, render: 7ms)
2026-03-09 14:10:07 -04:00:  GET /api/agents/status 200 in 11ms (compile: 5ms, render: 6ms)
2026-03-09 14:10:07 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 1008µs, render: 5ms)
2026-03-09 14:10:09 -04:00:  GET / 200 in 65ms (compile: 2ms, render: 63ms)
2026-03-09 14:10:09 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:10:13 -04:00: ✓ Compiled in 136ms
2026-03-09 14:10:14 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:10:17 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 3ms, render: 9ms)
2026-03-09 14:10:17 -04:00:  GET /api/agents/status 200 in 13ms (compile: 6ms, render: 7ms)
2026-03-09 14:10:17 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 918µs, render: 5ms)
2026-03-09 14:10:19 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:10:24 -04:00:  GET /api/costs/live 200 in 7ms (compile: 3ms, render: 5ms)
2026-03-09 14:10:27 -04:00:  GET /api/agents/status 200 in 11ms (compile: 3ms, render: 9ms)
2026-03-09 14:10:27 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 13ms (compile: 7ms, render: 6ms)
2026-03-09 14:10:27 -04:00:  GET /api/agents/status 200 in 4ms (compile: 828µs, render: 3ms)
2026-03-09 14:10:27 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 909µs, render: 5ms)
2026-03-09 14:10:29 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:10:34 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1012µs, render: 3ms)
2026-03-09 14:10:37 -04:00:  GET /api/agents/status 200 in 5ms (compile: 3ms, render: 1944µs)
2026-03-09 14:10:37 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 14ms (compile: 1140µs, render: 13ms)
2026-03-09 14:10:37 -04:00:  GET /api/activity/stats 200 in 8ms (compile: 1050µs, render: 7ms)
2026-03-09 14:10:38 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 978µs, render: 5ms)
2026-03-09 14:10:39 -04:00:  GET /api/costs/live 200 in 4ms (compile: 919µs, render: 3ms)
2026-03-09 14:10:44 -04:00:  GET /api/costs/live 200 in 4ms (compile: 979µs, render: 3ms)
2026-03-09 14:10:47 -04:00:  GET /api/agents/status 200 in 5ms (compile: 3ms, render: 2ms)
2026-03-09 14:10:47 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 14ms (compile: 961µs, render: 13ms)
2026-03-09 14:10:48 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 838µs, render: 6ms)
2026-03-09 14:10:49 -04:00:  GET /api/costs/live 200 in 4ms (compile: 964µs, render: 3ms)
2026-03-09 14:10:54 -04:00:  GET /api/costs/live 200 in 8ms (compile: 1990µs, render: 6ms)
2026-03-09 14:10:57 -04:00:  GET /api/agents/status 200 in 11ms (compile: 3ms, render: 8ms)
2026-03-09 14:10:57 -04:00:  GET /api/agents/status 200 in 3ms (compile: 742µs, render: 3ms)
2026-03-09 14:10:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 20ms (compile: 7ms, render: 13ms)
2026-03-09 14:10:58 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 822µs, render: 6ms)
2026-03-09 14:10:59 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:04 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:07 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 2ms, render: 9ms)
2026-03-09 14:11:07 -04:00:  GET /api/agents/status 200 in 13ms (compile: 6ms, render: 6ms)
2026-03-09 14:11:07 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 860µs, render: 4ms)
2026-03-09 14:11:09 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:11:14 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:17 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 12ms (compile: 2ms, render: 10ms)
2026-03-09 14:11:17 -04:00:  GET /api/agents/status 200 in 6ms (compile: 1467µs, render: 5ms)
2026-03-09 14:11:17 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 868µs, render: 4ms)
2026-03-09 14:11:19 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:11:24 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:27 -04:00:  GET /api/agents/status 200 in 12ms (compile: 4ms, render: 8ms)
2026-03-09 14:11:27 -04:00:  GET /api/agents/status 200 in 3ms (compile: 793µs, render: 2ms)
2026-03-09 14:11:27 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 17ms (compile: 5ms, render: 12ms)
2026-03-09 14:11:27 -04:00:  GET /api/activity/stats 200 in 8ms (compile: 831µs, render: 7ms)
